,STN,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
32351,32620,99999,19960208,34.6,32.6,1008.3,9999.9,15.5,9.4,25.1,999.9,40.1,30.2,0.02E,0.4,0
75959,32620,99999,19850321,36.7,29.7,992.1,9999.9,6.1,21.2,28.0,999.9,39.4,32.9,0.00D,999.9,0
514088,32620,99999,19360426,51.6,40.0,1010.5,9999.9,5.5,7.4,8.9,999.9,62.1,44.1,99.99,999.9,10000
322237,32620,99999,19790510,42.8,40.1,1025.9,9999.9,7.8,13.9,25.1,999.9,44.6,39.2,0.04F,999.9,10000
87392,32620,99999,19911225,40.1,35.1,1035.7,9999.9,16.0,13.1,28.0,999.9,48.6,33.4,0.00E,999.9,10000
423264,32620,99999,19950207,45.4,39.4,1007.0,9999.9,13.5,13.5,29.9,999.9,52.5,41.5,0.16F,999.9,10000
588570,32620,99999,19830521,47.3,45.7,1008.7,9999.9,5.1,8.7,14.0,999.9,50.0,45.3,0.00E,999.9,0
68079,32620,99999,19931018,41.6,37.0,1039.1,9999.9,19.0,10.3,12.0,999.9,51.6,32.4,0.00D,999.9,0
80239,32620,99999,19370311,34.5,28.5,995.5,9999.9,9.9,22.0,36.9,999.9,44.1,33.1,99.99,999.9,11000
480518,32620,99999,19390603,56.0,40.0,1029.3,9999.9,3.0,6.0,8.9,999.9,61.0,43.0,0.00I,999.9,0
339697,32620,99999,19301021,45.6,40.5,998.7,9999.9,3.2,9.0,13.0,999.9,54.0,39.9,0.00I,999.9,0
560418,32620,99999,19840907,53.2,46.4,1022.0,9999.9,11.6,6.6,9.9,999.9,61.5,44.8,0.00D,999.9,0
878408,32620,99999,19340928,59.8,56.3,1012.6,9999.9,3.2,8.9,8.9,999.9,70.0,53.1,0.00I,999.9,0
194756,32620,99999,19980512,48.6,46.3,1023.8,9999.9,9.8,8.7,15.0,999.9,50.4,36.5,0.12E,999.9,10000
232709,32620,99999,19770406,41.5,34.0,1011.9,9999.9,17.5,22.0,28.0,999.9,46.4,37.4,0.18F,999.9,11000
740857,32620,99999,19900504,55.1,48.4,1027.2,9999.9,3.5,9.8,15.9,999.9,59.5,49.5,0.00D,999.9,0
196106,32620,99999,19871130,43.3,40.1,1031.8,9999.9,9.6,17.6,29.9,999.9,45.0,36.5,0.08E,999.9,10000
233000,32620,99999,19920302,42.5,35.2,1016.8,9999.9,18.0,19.0,23.9,999.9,46.4,37.4,0.00D,999.9,0
641040,32620,99999,19841112,49.6,48.9,1004.4,9999.9,4.6,7.1,20.0,999.9,54.5,46.8,0.35F,999.9,10000
366446,32620,99999,19820126,44.1,40.7,996.8,9999.9,15.5,19.9,40.8,999.9,49.6,40.6,0.02E,999.9,10000
862207,32620,99999,19940921,53.8,52.9,1020.6,9999.9,7.6,12.9,25.1,999.9,54.7,52.2,0.08E,999.9,110000
30798,32620,99999,19801126,37.4,32.7,1013.4,9999.9,15.8,15.6,26.0,999.9,42.8,30.2,0.08F,999.9,1000
377411,32620,99999,19940330,47.9,41.9,1001.1,9999.9,10.5,26.6,44.9,999.9,54.1,41.0,0.00E,999.9,10000
699009,32620,99999,19760914,51.3,49.5,1006.5,9999.9,9.6,20.0,34.0,999.9,55.4,48.2,0.55F,999.9,10000
494696,32620,99999,19890208,46.9,42.9,1022.8,9999.9,4.2,9.9,18.1,999.9,51.8,43.2,0.00E,999.9,10000
825102,32620,99999,19770915,56.7,53.4,1027.8,9999.9,15.5,13.4,20.0,999.9,64.4,51.8,0.04F,999.9,10000
332658,32620,99999,19820202,43.5,40.3,1021.9,9999.9,5.0,12.4,19.4,999.9,46.0,39.6,0.00I,999.9,0
533252,32620,99999,19841024,48.8,47.7,1003.7,9999.9,8.1,11.8,28.0,999.9,53.2,44.4,0.12F,999.9,10000
271007,32620,99999,19880401,44.5,39.8,1008.9,9999.9,12.5,11.2,15.0,999.9,50.0,38.3,0.00E,999.9,10000
938101,32620,99999,19980215,56.8,50.5,1018.9,9999.9,14.1,15.5,20.0,999.9,58.5,54.5,0.00C,999.9,0
616420,32620,99999,19830921,49.6,45.4,1011.1,9999.9,14.9,3.0,8.0,999.9,51.8,46.2,0.02E,999.9,10000
708431,32620,99999,19970602,49.9,47.4,1027.8,9999.9,6.7,19.5,20.0,999.9,50.9,48.2,0.00D,999.9,1
688853,32620,99999,19770908,52.5,46.4,1019.9,9999.9,19.1,8.2,13.0,999.9,60.8,48.2,0.00F,999.9,0
271973,32620,99999,19950318,41.7,30.9,990.9,9999.9,21.7,24.6,40.0,999.9,48.2,38.3,0.04E,999.9,0
903057,32620,99999,19950713,59.8,54.0,1010.5,9999.9,11.7,3.9,9.9,999.9,64.4,53.6,0.00C,999.9,100000
664854,32620,99999,19900818,54.4,47.2,1016.6,9999.9,21.7,10.1,13.0,999.9,59.0,47.7,0.00D,999.9,0
899604,32620,99999,19820903,60.5,51.8,1021.5,9999.9,15.5,11.8,25.1,999.9,66.2,53.6,0.00D,999.9,0
199525,32620,99999,19951110,44.9,43.0,1009.3,9999.9,7.6,16.0,29.9,999.9,49.1,36.7,0.00E,999.9,10000
717788,32620,99999,19991007,52.3,49.8,1018.6,9999.9,13.8,10.4,14.0,999.9,57.6,48.7,0.08E,999.9,10000
538578,32620,99999,19750629,52.3,48.0,1031.9,9999.9,18.5,9.1,12.0,999.9,57.2,44.6,0.00F,999.9,0
851559,32620,99999,19320722,55.2,52.0,1009.2,9999.9,6.0,6.0,8.9,999.9,64.0,52.0,0.02E,999.9,10000
1010959,32620,99999,19850711,62.2,58.8,1011.2,9999.9,20.6,12.1,20.0,999.9,65.7,57.2,0.00D,999.9,0
201328,32620,99999,19971229,38.4,37.4,1005.1,9999.9,15.8,7.8,15.9,999.9,40.1,36.7,0.00E,999.9,10000
942584,32620,99999,19300620,62.5,56.8,1010.0,9999.9,5.3,7.2,8.9,999.9,75.0,55.0,99.99,999.9,10000
707612,32620,99999,19791023,50.7,43.5,1022.0,9999.9,19.3,23.5,28.0,999.9,51.8,48.2,0.00F,999.9,0
888782,32620,99999,19990818,55.3,54.2,996.1,9999.9,3.8,16.7,28.0,999.9,57.4,53.1,0.78F,999.9,10010
961587,32620,99999,19760715,60.6,55.6,1009.7,9999.9,9.2,11.3,22.0,999.9,71.6,55.4,0.24F,999.9,10000
