Working,Edition,Sub-Edition,Week Age,Reserve Type,Grand Total,Distribution Channel,Territory,Sub Territory,Week Ending Date,Original Name,Title,Reserve Level,Original Retailer Name,Relative Week,Retailer,Comments,Released?,Title with Platform,Brand,Installment,Platform Type,Platform,Release Date,IPC Segment
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SD 10/27150076,RPG 123 XBOX ONE,2988,GameStop,19,Gamestop,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SD 10/27150077,RPG 123 PS4,3749,GameStop,19,Gamestop,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Dlx SD 10/27150078,RPG 123 DELUXE XBOX ONE,2065,GameStop,19,Gamestop,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Dlx SD 10/27150079,RPG 123 DELUXE PS4,2829,GameStop,19,Gamestop,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 STEELBOOK GOLD EDITION PS4,RPG 123 GOLD PS4,338,Best Buy,19,Best Buy,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 STEELBOOK GOLD EDITION Xbox One,RPG 123 GOLD XBOX ONE,228,Best Buy,19,Best Buy,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 PS4,RPG 123 PS4,222,Best Buy,19,Best Buy,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Xbox One,RPG 123 XBOX ONE,160,Best Buy,19,Best Buy,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE EDITION Xbox One,RPG 123 DELUXE XBOX ONE,91,Best Buy,19,Best Buy,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE EDITION PS4,RPG 123 DELUXE PS4,87,Best Buy,19,Best Buy,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Collector,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 GODS Collector’s Edition – PlayStation 4,RPG 123 COLLECTOR EDITION PS4,2638,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Collector,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 GODS Collector’s Edition - Xbox One,RPG 123 COLLECTOR EDITION XBOX ONE,1399,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 - PlayStation 4,RPG 123 PS4,1423,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 - Xbox One,RPG 123 XBOX ONE,875,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Deluxe Edition - PlayStation 4,RPG 123 DELUXE PS4,1125,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Deluxe Edition - Xbox One,RPG 123 DELUXE XBOX ONE,696,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,1856,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,1147,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,64,Target,19,Target,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,53,Target,19,Target,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE XB1,RPG 123 DELUXE XBOX ONE,4,Target,19,Target,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE PS4,RPG 123 DELUXE PS4,2,Target,19,Target,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 XB1,RPG 123 XBOX ONE,2,Target,19,Target,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 PS4,RPG 123 PS4,1,Target,19,Target,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,12,Videotron,19,Videotron,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,13,Videotron,19,Videotron,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
