,Edition,Channel,Region,Installment,Platform,RelativeWeek,ReservesLevel
0,0,Digital,CAN,RPG 4,PS4,1,197
1,0,Digital,CAN,RPG 4,PS4,2,111
2,0,Digital,CAN,RPG 4,PS4,3,28
3,0,Digital,CAN,RPG 4,PS4,0,197
4,0,Digital,MEX,RPG 4,PS4,1,15
5,0,Digital,MEX,RPG 4,PS4,2,7
6,0,Digital,MEX,RPG 4,PS4,0,15
7,0,Digital,USA,RPG 4,PS4,1,1103
8,0,Digital,USA,RPG 4,PS4,2,613
9,0,Digital,USA,RPG 4,PS4,3,180
10,0,Digital,USA,RPG 4,PS4,0,1103
11,0,Retail,CAN,Kevin S,PC,0,481
12,0,Retail,CAN,Kevin S,PC,1,642
13,0,Retail,CAN,Kevin S,PC,2,473
14,0,Retail,CAN,Kevin S,PC,3,370
15,0,Retail,CAN,Kevin S,PC,4,256
16,0,Retail,CAN,Kevin S,PC,5,178
17,0,Retail,CAN,Kevin S,PC,6,155
18,0,Retail,CAN,Kevin S,PC,7,146
19,0,Retail,CAN,Kevin S,PC,8,123
20,0,Retail,CAN,Kevin S,PC,9,117
21,0,Retail,CAN,Kevin S,PC,10,112
22,0,Retail,CAN,Kevin S,PC,11,109
23,0,Retail,CAN,Kevin S,PC,12,109
24,0,Retail,CAN,Kevin S,PC,13,105
25,0,Retail,CAN,Kevin S,PC,14,99
26,0,Retail,CAN,Kevin S,PC,15,97
27,0,Retail,CAN,Kevin S,PC,16,91
28,0,Retail,CAN,Kevin S,PC,17,85
29,0,Retail,CAN,Kevin S,PC,18,74
30,0,Retail,CAN,Kevin S,PC,19,57
31,0,Retail,CAN,Kevin S,PC,21,34
32,0,Retail,CAN,Kevin S,PC,22,26
33,0,Retail,CAN,Kevin S,PC,0,211
34,0,Retail,USA,RPG 3,PS3,1,932
35,0,Retail,USA,RPG 3,PS3,2,492
36,0,Retail,USA,RPG 3,PS3,3,272
37,0,Retail,USA,RPG 3,PS3,4,26
38,0,Retail,USA,RPG 3,XBOX360,1,830
39,0,Retail,USA,RPG 3,XBOX360,2,402
40,0,Retail,USA,RPG 3,XBOX360,3,198
41,0,Retail,USA,RPG 3,XBOX360,4,20
42,0,Retail,USA,RPG 3,PS3,0,7361
43,0,Retail,USA,RPG 3,XBOX360,0,8888
44,Collector,Digital,BRA,Gems,PC,0,185
45,Collector,Digital,BRA,Gems,PC,1,133
46,Collector,Digital,BRA,Gems,PC,2,113
47,Collector,Digital,BRA,Gems,PC,3,105
48,Collector,Digital,BRA,Gems,PC,4,101
49,Collector,Digital,BRA,Gems,PC,5,95
50,Collector,Digital,BRA,Gems,PC,6,80
51,Collector,Digital,BRA,Gems,PC,7,79
52,Collector,Digital,BRA,Gems,PC,8,76
53,Collector,Digital,BRA,Gems,PC,9,76
54,Collector,Digital,BRA,Gems,PC,10,73
55,Collector,Digital,BRA,Gems,PC,11,72
56,Collector,Digital,BRA,Gems,PC,12,68
57,Collector,Digital,BRA,Gems,PC,13,67
58,Collector,Digital,BRA,Gems,PC,14,65
59,Collector,Digital,BRA,Gems,PC,15,64
60,Collector,Digital,BRA,Gems,PC,16,64
61,Collector,Digital,BRA,Gems,PC,17,55
62,Collector,Digital,BRA,Gems,PC,18,43
63,Collector,Digital,BRA,Gems,PC,19,42
64,Collector,Digital,BRA,Gems,PC,20,41
65,Collector,Digital,BRA,Gems,PC,21,36
66,Collector,Digital,BRA,Gems,PC,22,21
67,Collector,Digital,BRA,Shooter PRIMAL,PS4,0,880
68,Collector,Digital,BRA,Shooter PRIMAL,PS4,1,581
69,Collector,Digital,BRA,Shooter PRIMAL,PS4,2,376
70,Collector,Digital,BRA,Shooter PRIMAL,PS4,3,289
71,Collector,Digital,BRA,Shooter PRIMAL,PS4,4,234
72,Collector,Digital,BRA,Shooter PRIMAL,PS4,5,193
73,Collector,Digital,BRA,Shooter PRIMAL,PS4,6,133
