Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel
Annie,USA,Retail,Standard,PC,2012,11,0,NonCasual,42
Annie,USA,Retail,Standard,PC,2012,11,1,NonCasual,42
Annie,USA,Retail,Standard,PC,2012,11,2,NonCasual,30
Annie,USA,Retail,Standard,PC,2012,11,3,NonCasual,22
Annie,USA,Retail,Standard,PC,2012,11,4,NonCasual,18
Annie,USA,Retail,Standard,PC,2012,11,5,NonCasual,15
Annie,USA,Retail,Standard,PC,2012,11,6,NonCasual,13
Annie,USA,Retail,Standard,PC,2012,11,7,NonCasual,3
Annie,USA,Retail,Standard,PC,2012,11,8,NonCasual,6
Annie,USA,Retail,Standard,PC,2012,11,9,NonCasual,3
Annie,USA,Retail,Standard,PC,2012,11,10,NonCasual,9
Annie,USA,Retail,Standard,PC,2012,11,11,NonCasual,2
Annie,USA,Retail,Standard,PC,2012,11,12,NonCasual,1
Annie,USA,Retail,Standard,PC,2012,11,13,NonCasual,1
Annie,CAN,Retail,Standard,PC,2012,11,0,NonCasual,54
Annie,CAN,Retail,Standard,PC,2012,11,1,NonCasual,54
Annie,CAN,Retail,Standard,PC,2012,11,2,NonCasual,19
Annie,CAN,Retail,Standard,PC,2012,11,3,NonCasual,19
Annie,CAN,Retail,Standard,PC,2012,11,4,NonCasual,15
Annie,CAN,Retail,Standard,PC,2012,11,5,NonCasual,13
Annie,CAN,Retail,Standard,PC,2012,11,6,NonCasual,11
Annie,CAN,Retail,Standard,PC,2012,11,7,NonCasual,11
Annie,CAN,Retail,Standard,PC,2012,11,8,NonCasual,10
Annie,CAN,Retail,Standard,PC,2012,11,9,NonCasual,10
Annie,CAN,Retail,Standard,PC,2012,11,10,NonCasual,9
Annie,CAN,Retail,Standard,PC,2012,11,11,NonCasual,6
Annie,CAN,Retail,Standard,PC,2012,11,12,NonCasual,6
Annie,CAN,Retail,Standard,PC,2012,11,13,NonCasual,3
Annie,CAN,Retail,Standard,PC,2012,11,14,NonCasual,3
Annie,CAN,Retail,Standard,PC,2012,11,15,NonCasual,3
Annie,CAN,Retail,Standard,PC,2012,11,16,NonCasual,2
Annie,CAN,Retail,Standard,PC,2012,11,17,NonCasual,2
Annie,CAN,Retail,Standard,PC,2012,11,18,NonCasual,2
Annie,CAN,Retail,Standard,PC,2012,11,19,NonCasual,2
Annie,CAN,Retail,Standard,PC,2012,11,20,NonCasual,2
RPG L,USA,Retail,Standard,PS VITA,2009,10,0,NonCasual,22273
RPG L,USA,Retail,Standard,PS VITA,2009,10,1,NonCasual,22273
RPG L,USA,Retail,Standard,PS VITA,2009,10,2,NonCasual,19550
RPG L,USA,Retail,Standard,PS VITA,2009,10,3,NonCasual,17843
RPG L,USA,Retail,Standard,PS VITA,2009,10,4,NonCasual,16449
RPG L,USA,Retail,Standard,PS VITA,2009,10,5,NonCasual,15436
RPG L,USA,Retail,Standard,PS VITA,2009,10,6,NonCasual,14464
RPG L,USA,Retail,Standard,PS VITA,2009,10,7,NonCasual,14045
RPG L,USA,Retail,Standard,PS VITA,2009,10,8,NonCasual,13507
RPG L,USA,Retail,Standard,PS VITA,2009,10,9,NonCasual,12826
RPG L,USA,Retail,Standard,PS VITA,2009,10,10,NonCasual,12081
RPG L,USA,Retail,Standard,PS VITA,2009,10,11,NonCasual,11479
RPG L,USA,Retail,Standard,PS VITA,2009,10,12,NonCasual,10803
RPG L,USA,Retail,Standard,PS VITA,2009,10,13,NonCasual,10199
RPG L,USA,Retail,Standard,PS VITA,2009,10,14,NonCasual,9418
RPG L,USA,Retail,Standard,PS VITA,2009,10,15,NonCasual,8700
RPG L,USA,Retail,Standard,PS VITA,2009,10,16,NonCasual,7874
RPG L,USA,Retail,Standard,PS VITA,2009,10,17,NonCasual,7025
RPG L,USA,Retail,Standard,PS VITA,2009,10,18,NonCasual,6131
RPG L,USA,Retail,Standard,PS VITA,2009,10,19,NonCasual,5177
RPG L,USA,Retail,Standard,PS VITA,2009,10,20,NonCasual,3841
RPG L,USA,Retail,Standard,PS VITA,2009,10,21,NonCasual,1447
RPG E,USA,Digital,Standard,PS4,2013,11,0,NonCasual,5157
RPG E,USA,Digital,Standard,PS4,2013,11,1,NonCasual,1712
RPG E,USA,Digital,Standard,PS4,2013,11,2,NonCasual,1067
RPG E,USA,Digital,Standard,PS4,2013,11,3,NonCasual,773
RPG E,USA,Digital,Standard,PS4,2013,11,4,NonCasual,623
RPG E,USA,Digital,Standard,PS4,2013,11,5,NonCasual,471
RPG E,USA,Digital,Standard,PS4,2013,11,6,NonCasual,330
RPG E,USA,Digital,Standard,PS4,2013,11,7,NonCasual,164
RPG E,USA,Digital,Standard,PS4,2013,11,8,NonCasual,42
RPG E,USA,Digital,Standard,PS4,2013,11,9,NonCasual,0
RPG E,USA,Digital,Standard,PS4,2013,11,10,NonCasual,0
RPG E,USA,Digital,Standard,PS4,2013,11,11,NonCasual,0
RPG E,USA,Digital,Standard,XBOX ONE,2013,11,0,NonCasual,4281
RPG E,USA,Digital,Standard,XBOX ONE,2013,11,1,NonCasual,2229
RPG E,USA,Digital,Standard,XBOX ONE,2013,11,2,NonCasual,1188
RPG E,USA,Digital,Standard,XBOX ONE,2013,11,3,NonCasual,392
RPG E,USA,Retail,Standard,PS4,2013,11,0,NonCasual,8070
RPG E,USA,Retail,Standard,PS4,2013,11,1,NonCasual,7411
RPG E,USA,Retail,Standard,PS4,2013,11,2,NonCasual,5630
RPG E,USA,Retail,Standard,PS4,2013,11,3,NonCasual,4769
RPG E,USA,Retail,Standard,PS4,2013,11,4,NonCasual,4179
RPG E,USA,Retail,Standard,PS4,2013,11,5,NonCasual,3640
RPG E,USA,Retail,Standard,PS4,2013,11,6,NonCasual,3175
RPG E,USA,Retail,Standard,PS4,2013,11,7,NonCasual,2662
RPG E,USA,Retail,Standard,PS4,2013,11,8,NonCasual,2112
RPG E,USA,Retail,Standard,PS4,2013,11,9,NonCasual,1225
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,0,NonCasual,5088
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,1,NonCasual,4715
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,2,NonCasual,3551
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,3,NonCasual,2924
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,4,NonCasual,2518
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,5,NonCasual,2122
