,Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel,FinalPrice
0,Annie,USA,Retail,Standard,PC,2012,11,0,NonCasual,42,59.99
1,Annie,USA,Retail,Standard,PC,2012,11,1,NonCasual,42,59.99
2,Annie,USA,Retail,Standard,PC,2012,11,2,NonCasual,30,59.99
3,Annie,USA,Retail,Standard,PC,2012,11,3,NonCasual,22,59.99
4,Annie,USA,Retail,Standard,PC,2012,11,4,NonCasual,18,59.99
5,Annie,USA,Retail,Standard,PC,2012,11,5,NonCasual,15,59.99
6,Annie,USA,Retail,Standard,PC,2012,11,6,NonCasual,13,59.99
7,Annie,USA,Retail,Standard,PC,2012,11,7,NonCasual,3,59.99
8,Annie,USA,Retail,Standard,PC,2012,11,8,NonCasual,6,59.99
9,Annie,USA,Retail,Standard,PC,2012,11,9,NonCasual,3,59.99
10,Annie,USA,Retail,Standard,PC,2012,11,10,NonCasual,9,59.99
11,Annie,USA,Retail,Standard,PC,2012,11,11,NonCasual,2,59.99
12,Annie,USA,Retail,Standard,PC,2012,11,12,NonCasual,1,59.99
13,Annie,USA,Retail,Standard,PC,2012,11,13,NonCasual,1,59.99
35,RPG L,USA,Retail,Standard,PS,2009,10,0,NonCasual,22273,19.99
36,RPG L,USA,Retail,Standard,PS,2009,10,1,NonCasual,22273,19.99
37,RPG L,USA,Retail,Standard,PS,2009,10,2,NonCasual,19550,19.99
38,RPG L,USA,Retail,Standard,PS,2009,10,3,NonCasual,17843,19.99
39,RPG L,USA,Retail,Standard,PS,2009,10,4,NonCasual,16449,19.99
40,RPG L,USA,Retail,Standard,PS,2009,10,5,NonCasual,15436,19.99
41,RPG L,USA,Retail,Standard,PS,2009,10,6,NonCasual,14464,19.99
42,RPG L,USA,Retail,Standard,PS,2009,10,7,NonCasual,14045,19.99
43,RPG L,USA,Retail,Standard,PS,2009,10,8,NonCasual,13507,19.99
44,RPG L,USA,Retail,Standard,PS,2009,10,9,NonCasual,12826,19.99
45,RPG L,USA,Retail,Standard,PS,2009,10,10,NonCasual,12081,19.99
46,RPG L,USA,Retail,Standard,PS,2009,10,11,NonCasual,11479,19.99
47,RPG L,USA,Retail,Standard,PS,2009,10,12,NonCasual,10803,19.99
48,RPG L,USA,Retail,Standard,PS,2009,10,13,NonCasual,10199,19.99
49,RPG L,USA,Retail,Standard,PS,2009,10,14,NonCasual,9418,19.99
50,RPG L,USA,Retail,Standard,PS,2009,10,15,NonCasual,8700,19.99
51,RPG L,USA,Retail,Standard,PS,2009,10,16,NonCasual,7874,19.99
52,RPG L,USA,Retail,Standard,PS,2009,10,17,NonCasual,7025,19.99
53,RPG L,USA,Retail,Standard,PS,2009,10,18,NonCasual,6131,19.99
54,RPG L,USA,Retail,Standard,PS,2009,10,19,NonCasual,5177,19.99
55,RPG L,USA,Retail,Standard,PS,2009,10,20,NonCasual,3841,19.99
56,RPG L,USA,Retail,Standard,PS,2009,10,21,NonCasual,1447,19.99
57,RPG E,USA,Digital,Standard,PS,2013,11,0,NonCasual,5157,59.99
58,RPG E,USA,Digital,Standard,PS,2013,11,1,NonCasual,1712,59.99
59,RPG E,USA,Digital,Standard,PS,2013,11,2,NonCasual,1067,59.99
60,RPG E,USA,Digital,Standard,PS,2013,11,3,NonCasual,773,59.99
61,RPG E,USA,Digital,Standard,PS,2013,11,4,NonCasual,623,59.99
62,RPG E,USA,Digital,Standard,PS,2013,11,5,NonCasual,471,59.99
63,RPG E,USA,Digital,Standard,PS,2013,11,6,NonCasual,330,59.99
64,RPG E,USA,Digital,Standard,PS,2013,11,7,NonCasual,164,59.99
65,RPG E,USA,Digital,Standard,PS,2013,11,8,NonCasual,42,59.99
