Installment,Region,Channel,Platform,GameType,ReserveType,ReleaseYear,ReleaseMonth,RelativeWeek,Version,FinalPrice,ReservesLevel
Annie,CAN,Retail,Nintendo,NonCasual,PreOrder,2012,11,17,1,59.98999993,2
Annie,CAN,Retail,PC,NonCasual,PreOrder,2012,11,6,1,59.98999993,3
Annie,CAN,Retail,PC,NonCasual,PreOrder,2012,11,9,1,59.98999993,4
Annie,CAN,Retail,PC,NonCasual,PreOrder,2012,11,13,1,59.98999993,3
Annie,CAN,Retail,PC,NonCasual,PreOrder,2012,11,19,1,59.98999993,2
Annie,CAN,Retail,PC,NonCasual,PreOrder,2012,11,20,1,59.98999993,2
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,0,1,59.98999993,34
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,1,1,59.98999993,54
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,2,1,59.98999993,10
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,3,1,59.98999993,19
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,4,1,59.98999993,4
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,6,1,59.98999993,4
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,8,1,59.98999993,2
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,9,1,59.98999993,3
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,10,1,59.98999993,4
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,11,1,59.98999993,2
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,12,1,59.98999993,6
Annie,CAN,Retail,PS,NonCasual,PreOrder,2012,11,16,1,59.98999993,2
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,2,1,59.98999993,9
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,4,1,59.98999993,11
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,5,1,59.98999993,13
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,6,1,59.98999993,3
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,7,1,59.98999993,11
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,8,1,59.98999993,8
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,9,1,59.98999993,2
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,10,1,59.98999993,4
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,11,1,59.98999993,3
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,14,1,59.98999993,3
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,15,1,59.98999993,3
Annie,CAN,Retail,XBOX,NonCasual,PreOrder,2012,11,18,1,59.98999993,2
Annie,USA,Retail,PC,NonCasual,PreOrder,2012,11,1,1,59.98999993,9
Annie,USA,Retail,PC,NonCasual,PreOrder,2012,11,4,1,59.98999993,12
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,0,1,59.98999993,42
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,2,1,59.98999993,30
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,3,1,59.98999993,22
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,4,1,59.98999993,6
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,6,1,59.98999993,13
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,7,1,59.98999993,3
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,8,1,59.98999993,6
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,9,1,59.98999993,3
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,10,1,59.98999993,9
Annie,USA,Retail,PS,NonCasual,PreOrder,2012,11,12,1,59.98999993,1
Annie,USA,Retail,XBOX,NonCasual,PreOrder,2012,11,1,1,59.98999993,33
Annie,USA,Retail,XBOX,NonCasual,PreOrder,2012,11,5,1,59.98999993,15
Annie,USA,Retail,XBOX,NonCasual,PreOrder,2012,11,11,1,59.98999993,2
Annie,USA,Retail,XBOX,NonCasual,PreOrder,2012,11,13,1,59.98999993,1
RPG L,USA,Retail,Nintendo,NonCasual,PreOrder,2009,10,1,2,19.09100558,2845
