Installment,Region,Channel,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,Version,GameType,ReserveType,FinalPrice,ReservesLevel
Annie,USA,Retail,PC,2012,11,1,1,NonCasual,Pre-Order,59.98999993,9
Annie,USA,Retail,PC,2012,11,4,1,NonCasual,Pre-Order,59.98999993,12
Annie,USA,Retail,PS,2012,11,0,1,NonCasual,Pre-Order,59.98999993,42
Annie,USA,Retail,PS,2012,11,2,1,NonCasual,Pre-Order,59.98999993,30
Annie,USA,Retail,PS,2012,11,3,1,NonCasual,Pre-Order,59.98999993,22
Annie,USA,Retail,PS,2012,11,4,1,NonCasual,Pre-Order,59.98999993,6
Annie,USA,Retail,PS,2012,11,6,1,NonCasual,Pre-Order,59.98999993,13
Annie,USA,Retail,PS,2012,11,7,1,NonCasual,Pre-Order,59.98999993,3
Annie,USA,Retail,PS,2012,11,8,1,NonCasual,Pre-Order,59.98999993,6
Annie,USA,Retail,PS,2012,11,9,1,NonCasual,Pre-Order,59.98999993,3
Annie,USA,Retail,PS,2012,11,10,1,NonCasual,Pre-Order,59.98999993,9
Annie,USA,Retail,PS,2012,11,12,1,NonCasual,Pre-Order,59.98999993,1
Annie,USA,Retail,XBOX,2012,11,1,1,NonCasual,Pre-Order,59.98999993,33
Annie,USA,Retail,XBOX,2012,11,5,1,NonCasual,Pre-Order,59.98999993,15
Annie,USA,Retail,XBOX,2012,11,11,1,NonCasual,Pre-Order,59.98999993,2
Annie,USA,Retail,XBOX,2012,11,13,1,NonCasual,Pre-Order,59.98999993,1
RPG L,USA,Retail,Nintendo,2009,10,1,2,NonCasual,Pre-Order,19.09100558,2845
RPG L,USA,Retail,Nintendo,2009,10,9,2,NonCasual,Pre-Order,19.09100558,12826
RPG L,USA,Retail,Nintendo,2009,10,10,2,NonCasual,Pre-Order,19.09100558,1370
RPG L,USA,Retail,Nintendo,2009,10,11,2,NonCasual,Pre-Order,19.09100558,11479
RPG L,USA,Retail,Nintendo,2009,10,17,2,NonCasual,Pre-Order,19.09100558,6149
RPG L,USA,Retail,PC,2009,10,2,2,NonCasual,Pre-Order,19.98999984,17168
RPG L,USA,Retail,PC,2009,10,4,2,NonCasual,Pre-Order,19.98999984,14552
RPG L,USA,Retail,PC,2009,10,7,2,NonCasual,Pre-Order,19.98999984,1605
RPG L,USA,Retail,PC,2009,10,15,2,NonCasual,Pre-Order,19.98999984,8700
RPG L,USA,Retail,PC,2009,10,18,2,NonCasual,Pre-Order,19.98999984,794
RPG L,USA,Retail,PC,2009,10,19,2,NonCasual,Pre-Order,19.98999984,4475
RPG L,USA,Retail,PS,2009,10,0,2,NonCasual,Pre-Order,19.09100558,22273
RPG L,USA,Retail,PS,2009,10,2,2,NonCasual,Pre-Order,19.09100558,2383
RPG L,USA,Retail,PS,2009,10,3,2,NonCasual,Pre-Order,19.09100558,2101
RPG L,USA,Retail,PS,2009,10,4,2,NonCasual,Pre-Order,19.09100558,1898
RPG L,USA,Retail,PS,2009,10,5,2,NonCasual,Pre-Order,19.09100558,15436
RPG L,USA,Retail,PS,2009,10,6,2,NonCasual,Pre-Order,19.09100558,1661
RPG L,USA,Retail,PS,2009,10,7,2,NonCasual,Pre-Order,19.09100558,12440
RPG L,USA,Retail,PS,2009,10,13,2,NonCasual,Pre-Order,19.09100558,10199
RPG L,USA,Retail,PS,2009,10,18,2,NonCasual,Pre-Order,19.09100558,5337
RPG L,USA,Retail,PS,2009,10,20,2,NonCasual,Pre-Order,19.09100558,3841
